iter	Passed	Remaining
402	10841	2609
403	10870	2583
404	10898	2556
405	10922	2528
406	10949	2501
407	10973	2474
408	10996	2446
409	11020	2419
410	11045	2391
411	11072	2364
412	11096	2337
413	11120	2310
414	11143	2282
415	11168	2255
416	11192	2227
417	11215	2200
418	11239	2172
419	11265	2145
420	11290	2118
421	11318	2092
422	11343	2064
423	11369	2037
424	11400	2011
425	11429	1985
426	11459	1959
427	11485	1932
428	11510	1905
429	11534	1877
430	11558	1850
431	11582	1823
432	11607	1796
433	11632	1768
434	11656	1741
435	11681	1714
436	11706	1687
437	11732	1660
438	11757	1633
439	11784	1606
440	11810	1580
441	11836	1553
442	11861	1526
443	11885	1499
444	11908	1471
445	11932	1444
446	11955	1417
447	11978	1390
448	12004	1363
449	12028	1336
450	12052	1309
451	12079	1282
452	12106	1256
453	12129	1229
454	12153	1201
455	12179	1175
456	12206	1148
457	12233	1121
458	12261	1095
459	12290	1068
460	12316	1041
461	12346	1015
462	12374	988
463	12402	962
464	12431	935
465	12457	908
466	12482	882
467	12511	855
468	12538	828
469	12567	802
470	12597	775
471	12633	749
472	12662	722
473	12687	695
474	12712	669
475	12737	642
476	12764	615
477	12792	588
478	12819	562
479	12844	535
480	12870	508
481	12899	481
482	12930	455
483	12957	428
484	12983	401
485	13013	374
486	13040	348
487	13065	321
488	13091	294
489	13117	267
490	13141	240
491	13165	214
492	13189	187
493	13214	160
494	13239	133
495	13263	106
496	13291	80
497	13328	53
498	13363	26
499	13413	0
