iter	MultiClass
0	1.096972104
1	1.081046053
2	1.077000072
3	1.075508637
4	1.06628451
5	1.054713977
6	1.052911737
7	1.042330111
8	1.032047445
9	1.023344552
10	1.007913164
11	1.005493926
12	0.9940043557
13	0.9813759304
14	0.9750881046
15	0.9630100943
16	0.9575895898
17	0.9472847431
18	0.9330495765
19	0.9231815536
20	0.9158763631
21	0.9062350508
22	0.8959366297
23	0.8859619772
24	0.8794434958
25	0.8663897776
26	0.8575466963
27	0.8480851844
28	0.8460110385
29	0.8366639215
30	0.8306390323
31	0.8171265162
32	0.8038780076
33	0.7930898369
34	0.7840743285
35	0.775702074
36	0.7657054324
37	0.7558581828
38	0.7430001031
39	0.7333274096
40	0.7226494616
41	0.7175764292
42	0.7066571846
43	0.7026756033
44	0.6932665473
45	0.6842497512
46	0.6745416308
47	0.6669836062
48	0.6585732561
49	0.6498348984
50	0.6423458964
51	0.6316405121
52	0.6227091526
53	0.6161238171
54	0.6084868853
55	0.6007083843
56	0.5922165258
57	0.583320177
58	0.5771571718
59	0.5700740704
60	0.5605817706
61	0.5498805098
62	0.5428574154
63	0.5328273583
64	0.5274956776
65	0.5216944435
66	0.5144150993
67	0.5078070665
68	0.5043703181
69	0.4983403091
70	0.4909926967
71	0.4869471391
72	0.481857122
73	0.4762429169
74	0.4701756346
75	0.4639019815
76	0.4568589057
77	0.4513383289
78	0.4463733119
79	0.4403985551
80	0.4336734972
81	0.4287125748
82	0.4238067215
83	0.4202485859
84	0.4129241166
85	0.4088530815
86	0.4027248427
87	0.3981883482
88	0.3939696833
89	0.3893866779
90	0.3854664656
91	0.379870529
92	0.374660657
93	0.3707682563
94	0.3674016587
95	0.3624928736
96	0.3577766676
97	0.3514036076
98	0.3468273605
99	0.3431185568
100	0.3389035812
101	0.3341906544
102	0.331536284
103	0.3272425891
104	0.3239103404
105	0.3214165313
106	0.3185406773
107	0.3149202179
108	0.3108636681
109	0.3084892339
110	0.3058968818
111	0.3037244075
112	0.3018831334
113	0.2983771356
114	0.2954908468
115	0.2929085601
116	0.2908591086
117	0.2890129153
118	0.2864154509
119	0.2847106754
120	0.2814515612
121	0.2792413418
122	0.2764566628
123	0.2737797493
124	0.2708436184
125	0.2676336094
126	0.2638738229
127	0.2621518465
128	0.2602036692
