iter	MultiClass
129	0.2574539304
130	0.2551790534
131	0.2529547208
132	0.2514439906
133	0.2484445432
134	0.2465563874
135	0.2437956919
136	0.2414991114
137	0.2400120055
138	0.2379838611
139	0.2345752719
140	0.2319642318
141	0.2308064734
142	0.2289604763
143	0.2266782299
144	0.2250455217
145	0.2234751683
146	0.2218327408
147	0.2202157011
148	0.2176115018
149	0.2160245393
150	0.2138872983
151	0.2123283646
152	0.2109273459
153	0.2097159708
154	0.2084349233
155	0.206156808
156	0.2051238643
157	0.2038114872
158	0.2025990627
159	0.2009274984
160	0.1989971774
161	0.197517651
162	0.1959468228
163	0.1951061776
164	0.193684041
165	0.1920126994
166	0.1911982261
167	0.1899468069
168	0.1887428017
169	0.186863756
170	0.1851304533
171	0.184266926
172	0.1825835997
173	0.1816018148
174	0.1805571681
175	0.1787462985
176	0.1778285459
177	0.1768778519
178	0.175515843
179	0.1735616465
180	0.1728813839
181	0.1715492137
182	0.1705201431
183	0.1691304105
184	0.1681673432
185	0.1666471842
186	0.1645587092
187	0.1633201727
188	0.1624060875
189	0.161116581
190	0.1603436892
191	0.1594677439
192	0.1582666927
193	0.1573079238
194	0.156451475
195	0.1550606199
196	0.1541685928
197	0.1532104024
198	0.1520924852
199	0.1514504591
200	0.1504599982
201	0.149709772
202	0.1488203953
203	0.148049772
204	0.1471055786
205	0.1462205729
206	0.145244615
207	0.1444228579
208	0.1433382172
209	0.1423613291
210	0.1417321191
211	0.1406167005
212	0.1400059305
213	0.1393339541
214	0.1384971951
215	0.1377354099
216	0.1370551046
217	0.1363228686
218	0.1352643525
219	0.1344940876
220	0.1335700686
221	0.1328226849
222	0.1321099827
223	0.1315251681
224	0.1309198733
225	0.130253487
226	0.1296411197
227	0.1287452488
228	0.1281226707
229	0.1274409699
230	0.1267294985
231	0.1261756312
232	0.1256321258
233	0.1251386445
234	0.1243333224
235	0.1235534657
236	0.1228183718
237	0.1218960391
238	0.1212808509
239	0.1205648388
240	0.1194740326
241	0.1188849364
242	0.1181266919
243	0.1176081602
244	0.1170582322
245	0.1162034877
246	0.1157229622
247	0.1149521045
248	0.1143574546
249	0.1138517869
250	0.1133560889
251	0.1127890983
252	0.1123381908
253	0.1118364572
254	0.1113233731
255	0.1106523978
256	0.1100750825
257	0.1096571036
258	0.1092758193
259	0.1088009094
260	0.1078172219
261	0.1074475332
262	0.1066843898
263	0.106252408
264	0.1056411827
265	0.1050791964
266	0.1046172518
267	0.1040598797
268	0.1037237949
269	0.103380804
270	0.1030008333
271	0.1023907641
272	0.1019850195
273	0.1014636419
274	0.1010793729
275	0.1006335842
276	0.1002507433
277	0.09964238428
278	0.09907696197
279	0.09871619506
280	0.09833572355
281	0.09802842005
282	0.0975805376
283	0.09711087897
284	0.09660901225
285	0.09619933359
286	0.09570303988
287	0.09532813647
288	0.09487655905
289	0.09455324566
290	0.0940889002
291	0.09374275519
292	0.0934960742
293	0.09313501993
294	0.09248643915
295	0.09207065939
296	0.091685408
297	0.09128897764
298	0.09061279579
299	0.09003809581
300	0.08962613805
301	0.0893313628
302	0.08897391451
303	0.08865866349
304	0.08829589473
305	0.08795887041
306	0.08767679967
307	0.08735395256
308	0.08709606579
309	0.08671405902
310	0.08630617878
311	0.08606898313
312	0.08573386895
313	0.08518470359
314	0.08476011589
315	0.08451171894
316	0.08420260767
317	0.08377188323
318	0.08344690053
319	0.08322955117
320	0.0829377682
321	0.08260832279
322	0.08230164857
323	0.08201231799
324	0.08164727844
325	0.08139930896
326	0.08119658833
327	0.08089697252
328	0.08061919979
329	0.08029456619
330	0.07999051553
331	0.07945506631
332	0.0790861254
333	0.0789101357
334	0.07867220374
335	0.07840760779
336	0.07815887173
337	0.07794958191
338	0.07768038934
339	0.07739254949
340	0.07709280194
341	0.07686982244
342	0.0766347618
343	0.07629084
344	0.07613803683
345	0.07580557476
346	0.07547991262
347	0.07515775193
348	0.07489623706
349	0.07458645279
350	0.07429914766
351	0.07408558796
352	0.07391576542
353	0.07367754039
354	0.07340710764
355	0.073131268
356	0.07296333729
357	0.07272096705
358	0.07253580348
359	0.07236458627
360	0.07215843027
361	0.07193487708
362	0.07168798153
363	0.07146205143
364	0.0711529592
365	0.07098261181
366	0.0707495513
367	0.07046037968
368	0.07014609145
369	0.0699882833
370	0.06975803656
371	0.0695557447
372	0.06930901029
373	0.06902060488
374	0.06877106439
375	0.06859210375
376	0.06836198457
377	0.06809363103
378	0.06786930288
379	0.06766376837
380	0.06743583028
381	0.06717607195
382	0.067065453
383	0.06679073289
384	0.06650171269
385	0.06634613606
386	0.06612736686
387	0.06587531509
388	0.06572788891
389	0.06547577599
390	0.06528860163
391	0.06508381855
392	0.06491712692
393	0.06479976327
394	0.06456359659
395	0.06437823428
396	0.06419295573
397	0.06398816007
398	0.06382193729
399	0.0636824151
400	0.06351744719
401	0.06327325943
402	0.06311441031
403	0.06297376843
404	0.06277080424
405	0.06256896827
406	0.06234607498
407	0.06220382548
408	0.06200988028
409	0.06183274668
410	0.06164784493
411	0.06145839229
412	0.06125468521
413	0.06108745102
414	0.06085196721
415	0.0606985068
416	0.06059253926
417	0.06041537127
418	0.06024438918
419	0.06007452898
420	0.05986190563
421	0.05968096109
422	0.05948876718
423	0.05924961612
424	0.05907054064
425	0.0588953569
426	0.05872578324
427	0.0585316245
428	0.05836350407
429	0.05820486825
430	0.05800602172
431	0.05786365117
432	0.05771678392
433	0.05743562771
434	0.0571554562
435	0.05704859092
436	0.05691206113
437	0.05671548865
438	0.05661574825
439	0.056499995
440	0.05630628748
441	0.05601112904
442	0.05589727581
443	0.05578159234
444	0.0556631897
445	0.05550001403
446	0.05530943173
447	0.05510665701
448	0.05494943196
449	0.05483260948
450	0.05466971917
451	0.05448457565
452	0.05441541353
453	0.05428494428
454	0.05420199491
455	0.05404606575
456	0.05391965097
457	0.05381789512
458	0.0536809513
459	0.05350804267
460	0.05335930355
461	0.0532634267
462	0.0531471068
463	0.05303197636
464	0.05290049039
465	0.05277835108
466	0.05263441099
467	0.0525437979
468	0.05237010825
469	0.05226998346
470	0.0521347549
471	0.05201862901
472	0.05190876538
473	0.0517473418
474	0.05165109195
475	0.05150416011
476	0.0513178993
477	0.05116384702
478	0.05101681772
479	0.05091692351
480	0.05074250896
481	0.05056412935
482	0.05046255651
483	0.0503560658
484	0.05020481993
485	0.0501245773
486	0.04997534635
487	0.04985428848
488	0.04972591112
489	0.04959151561
490	0.04949760118
491	0.04939518443
492	0.04926513126
493	0.04908349316
494	0.04897978072
495	0.04888377103
496	0.04877664573
497	0.04860939623
498	0.04850816982
499	0.04842116729
